Geneid,DRR084259,DRR084260,DRR084261,DRR084262,DRR084263,DRR084264,DRR084265,DRR084266,DRR084267
dnaA,838,827,1313,710,1413,971,1213,520,967
SAOUHSC_00002,755,820,1351,620,1054,888,1341,415,813
SAOUHSC_00003,121,120,147,95,180,152,200,73,112
recF,500,442,801,380,753,562,744,298,528
SAOUHSC_00005,1369,1202,2198,984,2094,1532,1994,817,1502
SAOUHSC_00006,1149,1120,1861,799,1639,1204,1829,558,996
SAOUHSC_00007,114,113,140,48,95,65,113,42,71
SAOUHSC_00008,35,39,58,20,26,23,49,9,34
SAOUHSC_00009,720,650,1052,310,623,450,1093,379,774
SAOUHSC_00010,106,92,148,70,153,94,157,79,171
SAOUHSC_00012,75,43,77,37,82,69,110,77,115
SAOUHSC_00013,54,44,96,31,96,57,89,62,104
SAOUHSC_00014,363,320,527,330,595,430,508,186,338
SAOUHSC_00015,1041,909,1593,845,1668,1264,1629,605,1077
rplI,318,345,564,307,569,410,581,228,383
SAOUHSC_00018,1074,900,1702,747,1406,1095,1697,699,1261
SAOUHSC_00019,65,49,99,94,234,140,100,38,60
SAOUHSC_T00018,6.67,7.33,9.33,9.33,13.67,9.00,9.00,1.33,4.67
SAOUHSC_T00011,7.25,4,4,5.25,9,4.50,5,2,2.50
SAOUHSC_00020,337,360,595,216,387,255,511,279,489
SAOUHSC_00021,641,607,1063,351,731,471,1103,413,889
SAOUHSC_00022,446,439,792,243,459,383,745,273,487
SAOUHSC_00023,294,296,469,196,383,290,474,211,394
SAOUHSC_00024,177,132,247,114,212,137,232,75,141
SAOUHSC_00025,587,566,916,359,830,526,758,433,849
SAOUHSC_00026,0,3,2,1,1,0,0,1,0
SAOUHSC_00027,18,14,33,13,29,17,30,20,37
SAOUHSC_00028,1,0,4,1,2,3,3,0,0
SAOUHSC_00029,5,2,7,2,4,2,8,2,4
SAOUHSC_00030,340,333,539,249,467,336,608,292,492
SAOUHSC_00031,75,63,118,54.50,104.50,91.50,121,56,96.50
SAOUHSC_00032,16,12,15,9,17,20,16,15,30
SAOUHSC_00033,67,50,110,46,81,87,114,47,79
SAOUHSC_00034,11,12,18,12,19,17,30,16,23
SAOUHSC_00035,9,11,18,7,16,10,16,6,8
SAOUHSC_00036,19,15,35,15,23,19,28,18,14
SAOUHSC_00037,24,17,32,17,32,25,34,13,8
SAOUHSC_00038,3,6,5,3,7,2,2,0,3
SAOUHSC_00039,152,129,201,165.50,315.50,225.50,202,67,126.50
SAOUHSC_00040,9,9,15,10,11,10,8,7,9
SAOUHSC_00041,36,25,52,35,60,46,46,20,43
SAOUHSC_00042,30,39,80,33,65,51,77,27,49
SAOUHSC_00043,6,7,12,6,12,10,8,0,9
SAOUHSC_00044,28,30,44,29,60,60,75,17,41
SAOUHSC_00045,6,12,18,13,18,12,17,3,7
SAOUHSC_00046,27,30,37,25,53,49,54,21,43
SAOUHSC_00047,43,47,65,33,47,36,81,35,74
SAOUHSC_00049,229,196,311,84,176,118,424,223,451
SAOUHSC_00050,114,90,128,49,91,73,159,82,149
SAOUHSC_00051,28,27,36,23,53,35,31,18,32
SAOUHSC_00052,8.00,4.33,15.67,1,4.50,4,24.50,11.33,21.67
SAOUHSC_00053,9.00,13.33,27.67,4.33,11,9,34.50,12.33,48.67
SAOUHSC_00054,15.50,10.33,21.17,10.83,14,6,28.50,18.83,38.67
SAOUHSC_00055,17.50,17,20.50,15.83,10.50,10,30.50,16.50,23
SAOUHSC_00056,197,219,351,236,448,317,407,199,339
SAOUHSC_00057,13,15,29,17,39,25,36,16,42
SAOUHSC_00058,29,23,58,30,41,44,60,23,51
SAOUHSC_00060,471,389,689,534,997,695,688,252,505
SAOUHSC_00061,72,43,80,33,81,68,106,55,74
SAOUHSC_00062,7,11,6,8,10,9,6,3,9
SAOUHSC_00064,69,75,93,72,114,78,86,33,55
SAOUHSC_00065,34,26,53,29,56,41,37,14,33
SAOUHSC_00067,1319,808,1778,1124,2176,1505,1992.50,728,1128
SAOUHSC_00069,76578.99,74938.00,108808.98,51884.99,103162.99,65989.00,32758.00,12171.00,20862.00
SAOUHSC_00070,762,565,862,761,1438,940,321,76,124
SAOUHSC_00071,69,54,96,66,100,93,121,44,60
SAOUHSC_00072,72,66,129,64,130,92,176,57,83
SAOUHSC_00074,245,194,389,236,424,331,460,174,229
SAOUHSC_00075,1,3,4,4,3,5,10,1,3
SAOUHSC_00076,6,2,4,5,10,3,9,3,5
SAOUHSC_00077,10,7,16,17,16,14,26,12,20
SAOUHSC_00078,12,12,19,12,13,10,16,4,8
SAOUHSC_00079,19,10,20,10,27,18,31,14,19
SAOUHSC_00080,24,22,41,14,41,16,28,24,28
SAOUHSC_00081,12,13,25,18,37,32,20,11,19
SAOUHSC_00082,29,21,37,19,31,38,33,13,38
SAOUHSC_00083,25,33,48,24,59,35,46,14,42
SAOUHSC_00084,4,4,7,4,2,2,15,4,9
